Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Városi Patkányraj	Entitás	Umbra	Árnyékszindikátus	Bestia	Alap	1	1	1	1	[DOMÍNIUM] Visszhang (Echo): Amikor elpusztul, az ellenfélnek el kell dobnia egy véletlenszerű lapot a kezéből az Ürességbe.	[DOMINIUM] echo: when this dies, opponent discards a random card from hand to graveyard	dominium, hand, graveyard	echo	on_death	enemy_hand	random_discard	instant	none	Amikor elpusztul, az ellenfél véletlenszerűen eldob 1 lapot a kezéből az Ürességbe.	elso_koros_gepi_ertelmezes	Egyszerű Echo-triggeres random discard.
Árnyba Burkolt Kém	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	1	1	1	2	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. Minden alkalommal, amikor egy saját Jeled (Csapdád) aktiválódik, a Kém kap +1 ATK-t a kör végéig.	[ZENIT] cannot be targeted by enemy spells; whenever one of your traps triggers, this gains +1 ATK until end of turn	zenit	blank	on_trap_triggered	self	untargetable, atk_mod	until_turn_end	none	Zenitben nem célozható meg ellenséges varázslatokkal, és saját Jel aktiválódásakor +1 ATK-t kap a kör végéig.	osszetett_egyedi	Statikus védelem és trap-triggeres ideiglenes önbuff.
Tőrtáncos Orgyilkos	Entitás	Umbra	Árnyékszindikátus	Ember	Orgyilkos	2	2	2	2	[HORIZONT] Métely (Bane).	[HORIZONT] bane	horizont	bane	static	self	blank	static_while_on_board	none	A Horizonton Métely kulcsszóval rendelkező egyszerű támadó entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Éjszemű Varjú	Entitás	Umbra	Árnyékszindikátus	Bestia	Alap	2	3	1	4	[ZENIT] Harmonizálás (Harmonize). Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel.	[ZENIT] harmonize; cannot be targeted by enemy spells	zenit	harmonize	static	self	untargetable	static_while_on_board	none	Harmonizálást ad, és a Zenitben nem célozható meg ellenséges varázslatokkal.	osszetett_egyedi	Natív keyword mellé statikus célzásvédelem társul.
Az Árnyékok Szeme	Entitás	Umbra	Árnyékszindikátus	Szellem	Mágus	2	1	0	3	[ZENIT] Rezonancia 2. Amíg a Zenitben van, láthatod az ellenfél összes lefordított Jel (Csapda) kártyáját.	[ZENIT] resonance 2; while in Zenit you may see all enemy face-down traps	zenit	resonance	static	enemy_entities	ability_lock	static_while_on_board	none	Rezonancia 2-t ad, és a Zenitből láthatóvá teszi az ellenfél összes lefordított Jelét.	osszetett_egyedi	Rejtett információ felfedését adó statikus szabály.
Szindikátusi Zsaroló	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	2	2	2	2	[DOMÍNIUM] Riadó (Clarion): Az ellenfélnek választania kell: vagy elforgat (Kimerít) 1 Aktív Aurát az Ősforrásában, VAGY te húzhatsz 1 lapot.	[DOMINIUM] clarion: opponent chooses - exhaust 1 active source aura, or you draw 1	dominium, source, deck	clarion	on_summon	source_card, self	exhaust, draw, choice	instant	opponent_chooses_one_of_two_modes	Megidézéskor az ellenfél választ: vagy kimerít 1 Aktív Aurát a Forrásában, vagy te húzol 1 lapot.	osszetett_egyedi	Választásos Clarion forráskezeléssel vagy húzással.
Néma Bérgyilkos	Entitás	Umbra	Árnyékszindikátus	Ember	Orgyilkos	3	2	3	1	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. [DOMÍNIUM] Ha ez az Entitás a Zenitből a Horizontra lép a támadás körében, az ellenfél nem célozhatja meg Igékkel a harc során.	[ZENIT] cannot be targeted by enemy spells; if this moves from Zenit to Horizont in the turn it attacks, enemy cannot target it with spells during combat	zenit, horizont	blank	on_move_zenit_to_horizont	self	untargetable	during_combat	if_this_moves_from_zenit_to_horizont_in_the_turn_it_attacks	Zenitben nem célozható meg, és ha a támadás körében előrelép a Horizontra, a harc során az ellenfél nem célozhatja meg Igékkel.	osszetett_egyedi	Két zónához kötött célzásvédelmi szabály.
Szindikátusi Csapdamester	Entitás	Umbra	Árnyékszindikátus	Ember	Mágus	3	2	2	3	[ZENIT] Rezonancia 2. Amíg itt tartózkodik, minden Jel (Csapda) kártyád lehelyezési költsége 1 Umbra Aurával csökken (minimum 0-ra).	[ZENIT] resonance 2; while in Zenit your trap cards cost 1 less to place	zenit	resonance	static	self	cost_mod	static_while_on_board	affects_own_trap_cards_minimum_cost_0	Rezonancia 2-t ad, és a Zenitből 1 Umbra Aurával csökkenti a saját Jelek lehelyezési költségét.	osszetett_egyedi	Trap-költségcsökkentő folyamatos aura Rezonanciával.
Árnyék-közvetítő	Entitás	Umbra	Árnyékszindikátus	Ember	Nemes	3	3	2	4	[ZENIT] Harmonizálás (Harmonize). Amíg itt van, az előtte álló Entitás támadásakor az ellenfél nem aktiválhat olyan Jelet, amelynek Magnitúdója 3 vagy kisebb.	[ZENIT] harmonize; while here, when the supported entity attacks, opponent cannot activate traps with magnitude 3 or less	zenit, horizont	harmonize	on_attack_declared	own_horizont_entity, enemy_entities	ability_lock	during_combat	applies_only_while_supported_front_entity_attacks_and_blocks_enemy_traps_with_magnitude_lte_3	Harmonizálást ad, és a támogatott entitás támadásakor az ellenfél nem aktiválhat 3-as vagy kisebb Magnitúdójú Jeleket.	osszetett_egyedi	Harmonize mellé triggerelt trap-tiltás társul.
Arctalan Végrehajtó	Entitás	Umbra	Árnyékszindikátus	Ember	Harcos	4	4	4	3	[DOMÍNIUM] Riadó (Clarion): Ha megidézésekor van legalább egy lefordított Jeled a Zenitben, megkapja a Gyorsaság (Celerity) kulcsszót.	[DOMINIUM] clarion: if you have at least one face-down trap in Zenit, this gains celerity	dominium, zenit	clarion	on_summon	self	grant_keyword	static_while_on_board	requires_at_least_one_face_down_own_trap_in_zenit_on_summon	Megidézéskor, ha van legalább egy lefordított Jeled a Zenitben, megkapja a Gyorsaság kulcsszót.	osszetett_egyedi	Feltételes Clarion keyword-adás rejtett trap ellenőrzéssel.
Szindikátusi Végrehajtó	Entitás	Umbra	Árnyékszindikátus	Ember	Harcos	4	4	4	4	[HORIZONT] Hasítás (Sundering). Ha ez az Entitás sebez egy ellenfelet, az ellenfél a következő körében 1-gyel több Aurát köteles fizetni minden kijátszott Entitása után.	[HORIZONT] sundering; when this deals damage to an enemy, opponent pays 1 more aura for each entity played next turn	horizont	sundering	on_attack_hits	enemy_entity	cost_mod	until_next_enemy_turn	none	Ha sebez egy ellenfelet, az ellenfél a következő körében minden kijátszott Entitás után 1-gyel több Aurát fizet.	osszetett_egyedi	Támadásutáni ideiglenes globális költségnövelés az ellenfél körére.
Alvilági Pénzmosó	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	4	2	2	5	[ZENIT] Valahányszor aktiválsz egy saját Jelet (Csapdát), kapsz 1 ideiglenes Umbra Aurát, amit csak ebben a körben használhatsz fel.	[ZENIT] whenever you trigger one of your traps, gain 1 temporary Umbra aura for this turn	zenit	blank	on_trap_triggered	self	resource_gain	until_turn_end	none	Valahányszor aktiválsz egy saját Jelet, kapsz 1 ideiglenes Umbra Aurát erre a körre.	elso_koros_gepi_ertelmezes	Egyszerű trap-triggeres ideiglenes erőforrásnyerés.
Suttogó Démon	Entitás	Umbra	Árnyékszindikátus	Démon	Alap	5	3	3	5	[ZENIT] Minden alkalommal, amikor felfedsz és aktiválsz egy Jelet, a Démon azonnal okoz 2 sebzést egy szabadon választott ellenséges Entitásnak a Horizonton.	[ZENIT] whenever you reveal and activate a trap, this deals 2 damage to target enemy Horizont entity	zenit, horizont	blank	on_trap_triggered	enemy_horizont_entity	damage	instant	none	Valahányszor felfedsz és aktiválsz egy saját Jelet, 2 sebzést okoz egy ellenséges Horizont-entitásnak.	elso_koros_gepi_ertelmezes	Egyszerű trap-triggeres célzott sebzés.
Szindikátus Keresztapa	Entitás	Umbra	Árnyékszindikátus	Ember	Nemes	6	5	5	6	[DOMÍNIUM] Ha ez az Entitás elpusztulna, ahelyett, hogy az Ürességbe kerülne, visszaveheted a kezedbe. Riadó (Clarion): Helyezz le 2 Jelet (Csapdát) közvetlenül a paklidból a Zenitbe lefordítva.	[DOMINIUM] if this would die, you may return it to hand instead; clarion: place 2 traps from your deck face down into Zenit	dominium, deck, hand, zenit	clarion	on_death, on_summon	self, own_deck	return_to_hand, summon, free_cast	instant	you_may_return_self_to_hand_instead_of_graveyard; place_2_traps_from_own_deck_face_down_into_zenit	Ha elpusztulna, visszaveheted a kezedbe az Üresség helyett, és Clarionkor 2 Jelet raksz le közvetlenül a paklidból lefordítva a Zenitbe.	osszetett_egyedi	Önmentő replacement effect és közvetlen trap-lerakás a pakliból.
Noctis az Árnyak Ura	Entitás	Umbra	Árnyékszindikátus	Démon	Hős	7	6	6	6	[HORIZONT] Métely (Bane). [ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. [DOMÍNIUM] Riadó (Clarion): Keresd ki a paklidból vagy a temetőből a 2 kedvenc Jel kártyádat, és Aura-költség nélkül helyezd le őket a Zenitbe!	[HORIZONT] bane; [ZENIT] cannot be targeted by enemy spells; [DOMINIUM] clarion: search your deck or graveyard for 2 trap cards and place them in Zenit for free	horizont, zenit, deck, graveyard	bane, clarion	on_summon	own_deck, own_graveyard_entity	free_cast, tutor, summon, untargetable	instant	search_2_trap_cards_from_own_deck_or_graveyard_and_place_them_in_zenit_for_free	Horizonton Métellyel rendelkezik, Zenitben nem célozható, és Clarionkor 2 Jelet keres a paklidból vagy a temetőből, amelyeket ingyen lerak a Zenitbe.	osszetett_egyedi	Többrészes ikonikus lap: keyword, célzásvédelem és ingyenes kettős trap-setup.
Sikátori Zsebtolvaj	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	1	1	1	2	[DOMÍNIUM] Riadó (Clarion): Nézd meg az ellenfél kezét.	[DOMINIUM] clarion: look at opponent's hand	dominium	clarion	on_summon	enemy_hand	ability_lock	instant	none	Clarionkor megnézheted az ellenfél kezét.	elso_koros_gepi_ertelmezes	Egyszerű információs Clarion-hatás.
Alvilági Csempész	Entitás	Umbra	Árnyékszindikátus	Ember	Zsoldos	1	2	2	1	[HORIZONT] Ha az ellenfél kártyát dob el a kezéből, a Csempész kap +1 ATK-t az adott kör végéig.	[HORIZONT] whenever opponent discards a card from hand, this gains +1 ATK until end of turn	horizont	blank	on_enemy_multiple_draws	self	atk_mod	until_turn_end	trigger_when_opponent_discards_a_card_from_hand	Ha az ellenfél lapot dob el a kezéből, ez a lap +1 ATK-t kap a kör végéig.	osszetett_egyedi	Új discard-trigger primitive lehet később hasznosabb; átmenetileg egyedi kezelést kér.
Füstbe Burkolt Nindzsa	Entitás	Umbra	Árnyékszindikátus	Ember	Nindzsa	2	2	2	2	[HORIZONT] Légies (Ethereal). Gyorsaság (Celerity).	[HORIZONT] ethereal; celerity	horizont	ethereal, celerity	static	self	blank	static_while_on_board	none	A Horizonton Légies és Gyorsaság kulcsszóval rendelkező entitás.	passziv_vagy_egyszeru	Két natív keywordös lap.
Árnyék-Pók	Entitás	Umbra	Árnyékszindikátus	Bestia	Alap	2	2	1	3	[HORIZONT] Métely (Bane).	[HORIZONT] bane	horizont	bane	static	self	blank	static_while_on_board	none	A Horizonton Métely kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Hamiskártyás	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	2	2	2	2	[DOMÍNIUM] Visszhang (Echo): Amikor elpusztul, húzz 1 lapot, majd dobj el 1 lapot a kezedből az Ürességbe.	[DOMINIUM] echo: when this dies, draw 1, then discard 1 card from hand to graveyard	dominium, hand, graveyard	echo	on_death	own_hand	draw, discard	instant	none	Amikor elpusztul, húzol 1 lapot, majd eldobasz 1 lapot a kezedből az Ürességbe.	elso_koros_gepi_ertelmezes	Egyszerű Echo-triggeres loot hatás.
Éjszakai Besúgó	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	3	3	2	4	[ZENIT] Harmonizálás (Harmonize). Minden alkalommal, amikor egy saját Jeled (Csapdád) aktiválódik, húzz 1 lapot.	[ZENIT] harmonize; whenever one of your traps triggers, draw 1	zenit	harmonize	on_trap_triggered	self	draw	instant	none	Harmonizálást ad, és saját Jel aktiválódásakor húzol 1 lapot.	osszetett_egyedi	Harmonize mellé trap-triggeres húzás társul.
Bérgyilkos Mester	Entitás	Umbra	Árnyékszindikátus	Ember	Orgyilkos	3	3	4	2	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel.	[ZENIT] cannot be targeted by enemy spells	zenit	blank	static	self	untargetable	static_while_on_board	none	A Zenitben nem célozható meg ellenséges Rituálékkal és Igékkel.	passziv_vagy_egyszeru	Egyszerű statikus célzásvédelem.
Szindikátusi Testőr	Entitás	Umbra	Árnyékszindikátus	Ember	Lovag	3	3	2	5	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalom kulcsszóval rendelkező egyszerű védő entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Sötét Alkímista	Entitás	Umbra	Árnyékszindikátus	Ember	Mágus	4	4	3	4	[ZENIT] Rezonancia 1. A Manifesztáció fázisodban adhatsz egy saját Horizont Entitásnak Métely (Bane) kulcsszót az adott körre.	[ZENIT] resonance 1; during your manifestation phase target allied Horizont entity gains bane until end of turn	zenit, horizont	resonance	on_influx_phase	own_horizont_entity	grant_keyword	until_turn_end	none	Rezonancia 1-et ad, és a Manifesztáció fázisban egy saját Horizont-entitás Métely kulcsszót kaphat a kör végéig.	osszetett_egyedi	Rezonancia mellé fázis-alapú célzott keyword-adás tartozik.
Korrupt Városőr	Entitás	Umbra	Árnyékszindikátus	Ember	Harcos	4	4	4	4	[HORIZONT] Hasítás (Sundering). Bármikor, amikor az ellenfél egy 4-es vagy nagyobb Magnitúdójú lapot játszik ki, húzhatsz 1 kártyát.	[HORIZONT] sundering; whenever opponent plays a card with magnitude 4 or more, you may draw 1	horizont	sundering	on_enemy_spell_or_ritual_played	self	draw	instant	trigger_when_opponent_plays_a_card_with_magnitude_gte_4	Egyszerű Hasítás mellé társul egy húzás, ha az ellenfél 4-es vagy nagyobb Magnitúdójú lapot játszik ki.	osszetett_egyedi	Általános ellenfél-kijátszás trigger; később külön generic card-play trigger hasznos lehet.
Bársonyköpenyes Szélhámos	Entitás	Umbra	Árnyékszindikátus	Ember	Nemes	5	5	3	5	[DOMÍNIUM] Riadó (Clarion): Az ellenfél kénytelen a paklija legfelső 3 lapját egyenesen a saját Ürességébe dobni.	[DOMINIUM] clarion: opponent mills the top 3 cards of their deck	dominium, deck, graveyard	clarion	on_summon	own_deck	move_to_source	instant	target_is_top_3_cards_of_opponent_deck	Clarionkor az ellenfél a paklija legfelső 3 lapját a saját Ürességébe dobja.	osszetett_egyedi	Deck-mill Clarion ellenfél deckjére.
Fantom-Tolvaj	Entitás	Umbra	Árnyékszindikátus	Szellem	Tolvaj	5	5	5	4	[HORIZONT] Légies (Ethereal). Ha sikeres támadást visz be az ellenfél Aeternaljába vagy Pecsétjébe, lopj el 1 ideiglenes Aurát az ellenféltől!	[HORIZONT] ethereal; when this successfully damages enemy Aeternal or seal, steal 1 temporary aura from opponent	horizont, aeternal, seal_row	ethereal	on_attack_hits	enemy_aeternal, enemy_seal	resource_gain	instant	trigger_when_this_successfully_damages_enemy_aeternal_or_seal	Légies entitás, amely sikeres közvetlen támadás után 1 ideiglenes Aurát lop az ellenféltől.	osszetett_egyedi	Közvetlen támadás után erőforráslopás, ellenfél-erőforrás csökkentését is kezelni kell.
Árnyék-Gólem	Entitás	Umbra	Árnyékszindikátus	Gólem	Alap	6	6	5	6	[HORIZONT] Oltalom (Aegis). Valahányszor a Zenitben lévő lapjaid közül egy Jelet (Csapdát) felfedsz, a Gólem kap +2 ATK-t az adott kör végéig.	[HORIZONT] aegis; whenever you reveal a trap in Zenit, this gains +2 ATK until end of turn	horizont, zenit	aegis	on_trap_triggered	self	atk_mod	until_turn_end	trigger_when_you_reveal_a_trap_in_zenit	Oltalommal rendelkezik, és ha Jelet fedsz fel a Zenitben, +2 ATK-t kap a kör végéig.	osszetett_egyedi	Trap-reveal triggeres ideiglenes önbuff.
Az Éjszaka Királynője	Entitás	Umbra	Árnyékszindikátus	Vámpír	Nemes	7	6	6	6	[ZENIT] Rezonancia 2. Amíg itt áll, az ellenfél minden Entitásának megidézési költsége 1 Aurával megnő.	[ZENIT] resonance 2; while here all enemy entities cost 1 more to summon	zenit	resonance	static	enemy_entities	cost_mod	static_while_on_board	none	Rezonancia 2-t ad, és a Zenitből 1 Aurával növeli az ellenfél minden Entitásának idézési költségét.	osszetett_egyedi	Globális ellenfél-költségnövelő aura Rezonanciával.
Árnyék-Sárkány	Entitás	Umbra	Árnyékszindikátus	Sárkány	Alap	8	8	7	8	[HORIZONT] Hasítás (Sundering). Légies (Ethereal). Megidézésekor az összes saját lefordított Jeled (Csapdád) ingyenesen aktiválhatóvá válik a feltételek teljesülése nélkül is (az adott körben).	[HORIZONT] sundering; ethereal; on summon your face-down traps may be activated for free this turn without meeting conditions	horizont, zenit	sundering, ethereal	on_summon	own_entities	free_cast	until_turn_end	affects_all_face_down_own_traps_and_ignores_their_conditions_this_turn	Hasítással és Légies kulcsszóval rendelkezik, megidézésekor pedig az összes saját lefordított Jeled ingyen és feltétel nélkül aktiválható ebben a körben.	osszetett_egyedi	Tömeges trap-condition bypass és free activation egy körre.
Vakító Füst	Ige	Umbra	Árnyékszindikátus	-	-	2	1	-	-	Válassz egy ellenséges Entitást a Horizonton. Az ATK-ja 0-ra csökken a kör végéig. Reakció (Burst): Ingyen elsüthető Pecsétből.	target enemy Horizont entity's ATK becomes 0 until end of turn	horizont	burst	blank	enemy_horizont_entity	atk_mod	until_turn_end	none	Egy ellenséges Horizont-entitás ATK-ja 0-ra csökken a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű célzott ATK-nullázás Burst-tel.
Információszivárogtatás	Ige	Umbra	Árnyékszindikátus	-	-	2	1	-	-	Nézz bele az ellenfél kezébe, és válassz egy lapot. Az ellenfél azt a lapot visszahelyezi a paklija tetejére.	look at opponent's hand and choose a card; opponent puts that card on top of their deck	hand, deck	blank	blank	enemy_hand_card, own_deck	ability_lock, return_to_deck	instant	none	Belenézel az ellenfél kezébe, kiválasztasz egy lapot, és az az ellenfél paklijának tetejére kerül vissza.	osszetett_egyedi	Kézinformáció és célzott hand-to-deck manipuláció együtt.
Csendes Késelés	Ige	Umbra	Árnyékszindikátus	-	-	1	1	-	-	[Reakció (Burst)] Okoz 1 sebzést egy ellenséges Entitásnak. Ha a célpont már eleve sérült (kevesebb az aktuális HP-ja, mint a maximum), az Ige helyette 3 sebzést okoz.	deal 1 damage to target enemy entity; if that target is already damaged, deal 3 damage instead	blank	burst	blank	enemy_entity	damage	instant	if_target_enemy_entity_is_already_damaged	1 sebzést okoz egy ellenséges entitásnak, vagy 3-at, ha a célpont már sérült.	osszetett_egyedi	Feltételesen erősödő Burst sebző Ige.
Kódolt Üzenet	Ige	Umbra	Árnyékszindikátus	-	-	2	1	-	-	Húzz 2 lapot a paklidból, majd tegyél vissza 1 lapot a kezedből a paklid tetejére.	draw 2 cards, then put 1 card from your hand on top of your deck	deck, hand	blank	blank	own_hand, own_deck	draw, return_to_deck	instant	none	Húzol 2 lapot, majd 1 lapot a kezedből a paklid tetejére teszel vissza.	elso_koros_gepi_ertelmezes	Egyszerű húzás és kézből deck-top visszahelyezés kombinációja.
Megtévesztő Manőver	Ige	Umbra	Árnyékszindikátus	-	-	3	2	-	-	Cseréld fel a Domíniumodon lévő egyik lefordított Jeled (Csapdád) helyét egy másik üres Zenit mezővel, majd húzz 1 lapot.	move one of your face-down traps on your board to another empty Zenit slot, then draw 1 card	dominium, zenit, deck	blank	blank	own_face_down_trap	move_zenit, draw	instant	target_must_be_a_face_down_own_trap_and_destination_must_be_empty_zenit_slot	Egy saját lefordított Jeledet áthelyezed egy másik üres Zenit mezőre, majd húzol 1 lapot.	osszetett_egyedi	Rejtett trap áthelyezés és utóhúzás kombinációja.
Váratlan Támadás	Ige	Umbra	Árnyékszindikátus	-	-	4	2	-	-	Egy saját Entitásod a Horizonton megkapja a Gyorsaság (Celerity) és a Métely (Bane) kulcsszavakat a kör végéig.	target allied Horizont entity gains celerity and bane until end of turn	horizont	blank	blank	own_horizont_entity	grant_keyword	until_turn_end	none	Egy saját Horizont-entitás a kör végéig megkapja a Gyorsaság és a Métely kulcsszavakat.	elso_koros_gepi_ertelmezes	Egyszerű többszörös ideiglenes keyword-adás.
Árnyék-Ugrás	Ige	Umbra	Árnyékszindikátus	-	-	5	3	-	-	Válaszd ki egy saját Entitásodat. Azonnal visszatér a kezedbe, és ezen a körön belül Aura költség nélkül újra megidézheted!	return target allied entity to your hand; you may resummon it for free this turn	hand	blank	blank	own_entity	return_to_hand, free_cast	until_turn_end	none	Egy saját entitás visszakerül a kezedbe, és ebben a körben Aura-költség nélkül újra megidézheted.	osszetett_egyedi	Saját bounce és ugyanazon körön belüli ingyenes újra-kijátszás együtt.
Árnyékba Olvadás	Ige	Umbra	Árnyékszindikátus	-	-	4	2	-	-	"Válassz egy saját Entitást a Horizonton, amely épp egy támadás vagy varázslat célpontjává vált. A varázslat ""visszahúzza"" őt egy üres Zenit mezőre, a támadás/varázslat érvénytelenítődik."	move target allied Horizont entity that became a target to an empty Zenit slot; cancel that attack or spell	horizont, zenit	blank	on_enemy_spell_target	own_horizont_entity	move_zenit, attack_nullify, counterspell	instant	target_must_be_allied_horizont_entity_that_just_became_target_of_attack_or_spell_and_empty_zenit_slot_must_exist	Egy célponttá vált saját Horizont-entitást üres Zenit mezőre húzol vissza, és a támadás vagy varázslat meghiúsul.	osszetett_egyedi	Reaktív mentő-áthelyezés és célzást semlegesítő hatás.
Alvilági Kapcsolatok	Rituálé	Umbra	Árnyékszindikátus	-	-	2	2	-	-	Keresd ki a paklidból a legalacsonyabb Magnitúdójú Jeledet (Csapdádat), és helyezd le ingyen, lefordítva a Zenitbe.	search your deck for your lowest magnitude trap and place it face down in Zenit for free	deck, zenit	blank	blank	own_deck	tutor, summon, free_cast	instant	search_lowest_magnitude_trap_in_own_deck_and_place_it_face_down_in_zenit	A paklidból kikeresed a legalacsonyabb Magnitúdójú Jeledet, és ingyen, lefordítva lerakod a Zenitbe.	osszetett_egyedi	Tutor minimális Magnitúdó alapján és közvetlen trap-setup együtt.
Titkos Találkozó	Rituálé	Umbra	Árnyékszindikátus	-	-	4	3	-	-	Felfedheted az ellenfél összes Zenitben lévő lefordított lapját (ha van), és húzhatsz annyi lapot, ahány kártyát megnéztél.	reveal all face-down enemy Zenit cards; draw that many cards	zenit, deck	blank	blank	enemy_face_down_trap	draw, ability_lock	instant	draw_equal_to_number_of_revealed_enemy_face_down_zenit_cards	Felfeded az ellenfél összes Zenitben lévő lefordított lapját, majd annyi lapot húzol, amennyit megnéztél.	osszetett_egyedi	Rejtett lapok felfedése és abból számolt húzás.
Az Árnyak Leple	Rituálé	Umbra	Árnyékszindikátus	-	-	5	4	-	-	Az összes saját Entitásod a Domíniumon immunissá válik az ellenséges Rituálékra és Igékre az adott kör végéig.	all allied entities on your board become immune to enemy rituals and spells until end of turn	dominium	blank	blank	own_entities	untargetable, damage_immunity	until_turn_end	none	Az összes saját pályán lévő entitás a kör végéig immunis lesz az ellenséges Rituálékra és Igékre.	osszetett_egyedi	Tömeges varázslat-immunitás és célzásvédelem kombinációja.
