card_name,realm,clan,raw_ability,detected_keywords,detected_effect_tags,keyword_support_status,effect_support_status,evidence_files,notes
Lángoló Öklű Bajnok,Ignis,Hamvaskezű,"[HORIZONT] Hasítás (Sundering). Valahányszor ez az Entitás sikeres harci sebzést okoz egy ellenséges Entitásnak, visszatölt magának 1 HP-t.",sundering,deal_damage;heal,partial,supported,cards/priority_handlers.py;engine/effects.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: sundering=partial | effects: deal_damage=supported; heal=supported
Lángoló Pörölyös,Ignis,Hamvaskezű,"[HORIZONT] Hasítás (Sundering). Ha egy már eleve Kimerült (elforgatott) ellenfelet támad meg, a támadás idejére kap +2 ATK-t.",sundering,grant_temp_attack;exhaust_target,partial,supported,cards/priority_handlers.py;engine/actions.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: sundering=partial | effects: grant_temp_attack=supported; exhaust_target=supported
Parázsfarkas,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Ha van legalább egy másik Hamvaskezű vagy Bestia Entitásod a Horizonton, a Parázsfarkas kap +1 ATK-t a mérkőzés hátralévő részére.",clarion,grant_temp_attack;move_to_horizon,partial,partial,cards/priority_handlers.py;cards/resolver.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: clarion=partial | effects: grant_temp_attack=supported; move_to_horizon=partial
Vörösréz Pajzsos,Ignis,Hamvaskezű,"[HORIZONT] Oltalom (Aegis). Ha sikeresen blokkol egy támadást és túléli, az ellenséges támadó kap 1 sebzést a forró pajzstól.",aegis,deal_damage,partial,supported,cards/priority_handlers.py;engine/effects.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: aegis=partial | effects: deal_damage=supported
Hamvaskezű Kivégző,Ignis,Hamvaskezű,"[HORIZONT] Gyorsaság (Celerity). Ha ez az Entitás egy olyan ellenfelet támad, aminek a maximális HP-ja kevesebb, mint az övé, a támadás idejére kap +2 ATK-t.",celerity,grant_temp_attack;grant_max_hp,supported,partial,cards/priority_handlers.py;engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: celerity=supported | effects: grant_temp_attack=supported; grant_max_hp=partial
Élő Meteor,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Becsapódáskor az Élő Meteor azonnal elszenved 3 sebzést, és a saját Horizontodon lévő összes többi Entitás is kap 1 sebzést.",clarion,deal_damage,partial,supported,cards/priority_handlers.py;cards/resolver.py;engine/effects.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: clarion=partial | effects: deal_damage=supported
Hamu-Goblin Raj,Ignis,Hamvaskezű,"[HORIZONT] Gyorsaság (Celerity). Ha van egy másik Goblin Entitásod a Domíniumon, kap +1 ATK-t.",celerity,grant_temp_attack,supported,supported,cards/priority_handlers.py;engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: celerity=supported | effects: grant_temp_attack=supported
Lángköpő Gyík,Ignis,Hamvaskezű,"[DOMÍNIUM] Visszhang (Echo): Ha elpusztul, okoz 1 sebzést egy szabadon választott ellenséges Entitásnak.",echo,deal_damage;destroy_target,partial,supported,cards/priority_handlers.py;engine/effects.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: echo=partial | effects: deal_damage=supported; destroy_target=supported
Parázs-Ork Martalóc,Ignis,Hamvaskezű,"[HORIZONT] Gyorsaság (Celerity). Valahányszor ez az Entitás támadást indít, a harc előtt azonnal elszenved 1 sebzést.",celerity,deal_damage,supported,supported,cards/priority_handlers.py;engine/card.py;engine/effects.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: celerity=supported | effects: deal_damage=supported
Törp Lávakovács,Ignis,Hamvaskezű,"[HORIZONT] Oltalom (Aegis). Valahányszor sebzést szenved el, de nem pusztul el, kap +1 ATK-t az adott kör végéig.",aegis,grant_temp_attack;deal_damage,partial,supported,cards/priority_handlers.py;engine/effects.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: aegis=partial | effects: grant_temp_attack=supported; deal_damage=supported
Goblin Robbanómester,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Okoz 2 sebzést egy ellenséges Entitásnak, de a Robbanómester is elszenved 1 sebzést.",clarion,deal_damage,partial,supported,cards/priority_handlers.py;cards/resolver.py;engine/effects.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: clarion=partial | effects: deal_damage=supported
Törp Magmakalapácsos,Ignis,Hamvaskezű,[HORIZONT] Hasítás (Sundering). Ennek az Entitásnak az ATK-ja ellenséges varázslatok által nem csökkenthető 1 alá.,sundering,grant_temp_attack,partial,supported,cards/priority_handlers.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: sundering=partial | effects: grant_temp_attack=supported
Lángvérű Berserker,Ignis,Hamvaskezű,"[HORIZONT] Amíg ennek az Entitásnak a jelenlegi HP-ja alacsonyabb, mint a maximális HP-ja (sérült), kap +2 ATK-t és a Hasítás (Sundering) kulcsszót.",sundering,grant_temp_attack;grant_max_hp,partial,partial,cards/priority_handlers.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: sundering=partial | effects: grant_temp_attack=supported; grant_max_hp=partial
Ork Hadúr,Ignis,Hamvaskezű,[HORIZONT] Minden saját Ork és Goblin Entitásod a Horizonton kap +1 ATK-t és a Gyorsaság (Celerity) kulcsszót.,celerity,grant_temp_attack;move_to_horizon,supported,partial,cards/priority_handlers.py;engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: celerity=supported | effects: grant_temp_attack=supported; move_to_horizon=partial
Pokol-kutyák Ura,Ignis,Hamvaskezű,"[DOMÍNIUM] Riadó (Clarion): Kényszerítés (Taunt). Válassz ki egy ellenséges Entitást; a következő körben kötelezően támadnia kell, ha képes rá.",clarion,restrict_attack,partial,supported,cards/priority_handlers.py;cards/resolver.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: clarion=partial | effects: restrict_attack=supported
Tűzhegy Titánja,Ignis,Hamvaskezű,"[HORIZONT] Hasítás (Sundering). Oltalom (Aegis). Nem blokkolhatják olyan Entitások, amelyek ATK-ja 3 vagy annál kisebb.",aegis;sundering,grant_temp_attack,partial,supported,cards/priority_handlers.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: aegis=partial; sundering=partial | effects: grant_temp_attack=supported
Utolsó Szikra,Ignis,Hamvaskezű,Okoz 2 sebzést egy ellenséges Entitásnak vagy közvetlenül egy Pecsétnek. Reakció (Burst): Ingyen elsüthető.,burst,deal_damage;seal_damage,partial,supported,cards/priority_handlers.py;cards/resolver.py;engine/card.py;engine/effects.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: burst=partial | effects: deal_damage=supported; seal_damage=supported
A Lángok Haragja,Ignis,Hamvaskezű,Egy saját Entitásod kap +2 ATK-t és a Hasítás (Sundering) kulcsszót a kör végéig.,sundering,grant_temp_attack,partial,supported,cards/priority_handlers.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: sundering=partial | effects: grant_temp_attack=supported
Vérforraló Üvöltés,Ignis,Hamvaskezű,A Domíniumodon lévő összes Entitás kap +1 ATK-t és a Gyorsaság (Celerity) kulcsszót az adott kör végéig.,celerity,grant_temp_attack,supported,supported,cards/priority_handlers.py;engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: celerity=supported | effects: grant_temp_attack=supported
Perzselő Csapás,Ignis,Hamvaskezű,Egy választott saját Entitásod kap +3 ATK-t a harc idejére. Reakció (Burst): Ingyen elsüthető.,burst,grant_temp_attack,partial,supported,cards/priority_handlers.py;cards/resolver.py;engine/card.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py,keywords: burst=partial | effects: grant_temp_attack=supported
Lángoló Harag,Ignis,Hamvaskezű,"Okozz 3 sebzést egy olyan ellenséges Entitásnak, amely már sérült (a jelenlegi HP-ja kisebb, mint a maximális). Reakció (Burst): Ingyen elsüthető.",burst,deal_damage,partial,supported,cards/priority_handlers.py;cards/resolver.py;engine/card.py;engine/effects.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: burst=partial | effects: deal_damage=supported
Tűzgyűrű,Ignis,Hamvaskezű,"Egy saját Entitásod megkapja az Oltalom (Aegis) kulcsszót a kör végéig. Bármely ellenség, ami megtámadja őt ebben a körben, kap 2 sebzést.",aegis,deal_damage;grant_keyword_temp,partial,supported,cards/priority_handlers.py;engine/effects.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/player.py;engine/structured_effects.py;tests/test_priority_handlers.py,keywords: aegis=partial | effects: deal_damage=supported; grant_keyword_temp=supported
Robbanó Pajzs,Ignis,Hamvaskezű,Aktiválás: Amikor az ellenfél megtámadja egy Oltalom (Aegis) kulcsszójú Entitásodat. Hatás: A támadó Entitás azonnal elszenved 3 sebzést.,aegis,deal_damage,partial,supported,cards/priority_handlers.py;engine/effects.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: aegis=partial | effects: deal_damage=supported
A Megperzselt Küzdőtér,Ignis,Hamvaskezű,"Amíg aktív, egyik játékos sem idézhet Entitást a Zenitbe, kivéve, ha az rendelkezik Harmonizálás vagy Rezonancia kulcsszóval.",resonance;harmonize,move_to_zenit,uncertain,supported,cards/priority_handlers.py;engine/actions.py;engine/game.py;engine/keyword_engine.py;engine/keyword_registry.py;engine/structured_effects.py,keywords: resonance=uncertain; harmonize=supported | effects: move_to_zenit=supported
